AD,2D,2C,3C,QC,180
AD,2D,2C,3C,KC,180
AD,2D,2C,4C,5C,180
AD,2D,2C,4C,6C,180
AD,2D,2C,4C,7C,180
AD,2D,2C,4C,8C,180
AD,2D,2C,4C,9C,180
AD,2D,2C,4C,10C,180
AD,2D,2C,4C,JC,180
AD,2D,2C,4C,QC,180
AD,2D,2C,4C,KC,180
AD,2D,2C,5C,6C,180
AD,2D,2C,5C,7C,180
AD,2D,2C,5C,8C,180
AD,2D,2C,5C,9C,180
AD,2D,2C,5C,10C,180
AD,2D,2C,5C,JC,180
AD,2D,2C,5C,QC,180
AD,2D,2C,5C,KC,180
AD,2D,2C,6C,7C,180
AD,2D,2C,6C,8C,180
AD,2D,2C,6C,9C,180
AD,2D,2C,6C,10C,180
AD,2D,2C,6C,JC,180
AD,2D,2C,6C,QC,180
AD,2D,2C,6C,KC,180
AD,2D,2C,7C,8C,180
AD,2D,2C,7C,9C,180
AD,2D,2C,7C,10C,180
AD,2D,2C,7C,JC,180
AD,2D,2C,7C,QC,180
AD,2D,2C,7C,KC,180
AD,2D,2C,8C,9C,180
AD,2D,2C,8C,10C,180
AD,2D,2C,8C,JC,180
AD,2D,2C,8C,QC,180
AD,2D,2C,8C,KC,180
AD,2D,2C,9C,10C,180
AD,2D,2C,9C,JC,180
AD,2D,2C,9C,QC,180
AD,2D,2C,9C,KC,180
AD,2D,2C,10C,JC,180
AD,2D,2C,10C,QC,180
AD,2D,2C,10C,KC,180
AD,2D,2C,JC,QC,180
AD,2D,2C,JC,KC,180
AD,2D,2C,QC,KC,180
AD,2D,3C,4C,5C,270
AD,2D,3C,4C,6C,270
AD,2D,3C,4C,7C,270
AD,2D,3C,4C,8C,270
AD,2D,3C,4C,9C,270
AD,2D,3C,4C,10C,270
AD,2D,3C,4C,JC,270
AD,2D,3C,4C,QC,270
AD,2D,3C,4C,KC,270
AD,2D,3C,5C,6C,270
AD,2D,3C,5C,7C,270
AD,2D,3C,5C,8C,270
AD,2D,3C,5C,9C,270
AD,2D,3C,5C,10C,270
AD,2D,3C,5C,JC,270
AD,2D,3C,5C,QC,270
AD,2D,3C,5C,KC,270
AD,2D,3C,6C,7C,270
AD,2D,3C,6C,8C,270
AD,2D,3C,6C,9C,270
AD,2D,3C,6C,10C,270
AD,2D,3C,6C,JC,270
AD,2D,3C,6C,QC,270
AD,2D,3C,6C,KC,270
AD,2D,3C,7C,8C,270
AD,2D,3C,7C,9C,270
AD,2D,3C,7C,10C,270
AD,2D,3C,7C,JC,270
AD,2D,3C,7C,QC,270
AD,2D,3C,7C,KC,270
AD,2D,3C,8C,9C,270
AD,2D,3C,8C,10C,270
AD,2D,3C,8C,JC,270
AD,2D,3C,8C,QC,270
AD,2D,3C,8C,KC,270
AD,2D,3C,9C,10C,270
AD,2D,3C,9C,JC,270
AD,2D,3C,9C,QC,270
AD,2D,3C,9C,KC,270
AD,2D,3C,10C,JC,270
AD,2D,3C,10C,QC,270
AD,2D,3C,10C,KC,270
AD,2D,3C,JC,QC,270
AD,2D,3C,JC,KC,270
AD,2D,3C,QC,KC,270
AD,2D,4C,5C,6C,270
AD,2D,4C,5C,7C,270
AD,2D,4C,5C,8C,270
AD,2D,4C,5C,9C,270
AD,2D,4C,5C,10C,270
AD,2D,4C,5C,JC,270
AD,2D,4C,5C,QC,270
AD,2D,4C,5C,KC,270
AD,2D,4C,6C,7C,270
AD,2D,4C,6C,8C,270
AD,2D,4C,6C,9C,270
AD,2D,4C,6C,10C,270
AD,2D,4C,6C,JC,270
AD,2D,4C,6C,QC,270
AD,2D,4C,6C,KC,270
AD,2D,4C,7C,8C,270
AD,2D,4C,7C,9C,270
AD,2D,4C,7C,10C,270
AD,2D,4C,7C,JC,270
AD,2D,4C,7C,QC,270
